Queue = 0 
(server #),Blocking Probability and Erlang value
1,49.3351%,19.9452%,5.89344%,1.56803%,0.428391%,0.0807836%,90.9363%,71.2931%,38.5177%,13.5412%,3.67956%,0.937334%,99.0102%,96.1558%,86.212%,60.9791%,28.0337%,8.71797%,99.9006%,99.6033%,98.4237%,93.9774%,79.5178%,48.8403%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562

5,0.28767%,0%,0%,0%,0%,0%,56.3276%,7.03595%,0.0531286%,0%,0%,0%,95.0743%,80.8675%,37.515%,1.64841%,0.00470336%,0%,99.5043%,98.0107%,92.1207%,70.396%,18.9106%,0.258503%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562

10,0%,0%,0%,0%,0%,0%,21.867%,0.0270538%,0%,0%,0%,0%,90.1434%,62.1487%,5.14737%,0.000399897%,0%,0%,99.0001%,96.0217%,84.2996%,42.8951%,0.443162%,0%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562

Queue = S 
(server #),Blocking Probability and Erlang value
1,34.2373%,4.64415%,0.312721%,0.0295014%,0%,0%,90.1279%,64.0664%,19.2265%,2.05784%,0.155109%,0.0129544%,99.0006%,95.9882%,84.3408%,48.706%,9.8644%,0.833959%,99.8992%,99.602%,98.3995%,93.6336%,75.6332%,32.283%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562

5,0%,0%,0%,0%,0%,0%,50.163%,0.198694%,0%,0%,0%,0%,94.9806%,79.9771%,23.6185%,0.00669721%,0%,0%,99.4989%,98.0076%,92.0066%,68.0441%,3.73524%,8.00275e-05%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562

10,0%,0%,0%,0%,0%,0%,6.6632%,0%,0%,0%,0%,0%,90.0475%,59.9857%,0.0530339%,0%,0%,0%,98.9962%,95.992%,84.002%,36.0996%,3.99906e-05%,0%
,1,0.25,0.0625,0.015625,0.00390625,0.000976562,10,2.5,0.625,0.15625,0.0390625,0.00976562,100,25,6.25,1.5625,0.390625,0.0976562,1000,250,62.5,15.625,3.90625,0.976562
